codigo,nome,enderezo,concello,provincia,cpostal,telf,latitude,longitude,titularidade,concertado,dependente
36011521,CPR Vivas,"Principe, 17 - 24",Vigo,Pontevedra,36202,986227085,42.23726,-8.723809,Privada,Si,Non
32008914,CPR Santo Cristo,Rúa San Pedro 2,Ourense,Ourense,32005,988220588,42.33639,-7.861965,Privada,Si,Non
36010794,CPR Fillas de María Inmaculada,Avenida Vazquez Varela 57,Vigo,Pontevedra,36204,986423988,42.229263,-8.715698,Privada,Si,Non
36020155,CPR Estudio,Rúa das Laxes 31,Nigrán,Pontevedra,36360,986363224,42.161827,-8.765218,Privada,Si,Non
36011351,CPR San José de Cluny,Rúa CARBALLO 46,Vigo,Pontevedra,36204,986493501,42.223724,-8.713061,Privada,Si,Non
36011270,CPR Plurilingüe Rosalía de Castro,Estrada de Bembrive 91,Vigo,Pontevedra,36214,986420433,42.21091,-8.694359,Privada,Si,Non
36011117,CPR Plurilingüe Losada,Rúa Baixada o Capitan 31,Vigo,Pontevedra,36214,986272229,42.227867,-8.691854,Privada,Si,Non
36010800,CPR Niño Jesús de Praga,Rúa Areal 92,Vigo,Pontevedra,36201,986433800,42.238636,-8.713392,Privada,Si,Non
36010356,CPR Plurilingüe Escuelas Nieto,"Avenida Ramon Nieto, 247 - Lavadores",Vigo,Pontevedra,36205,986372481,42.229668,-8.686559,Privada,Si,Non
36009123,CPR Plurilingüe María Inmaculada,Rúa María  Colmeiro 4,Silleda,Pontevedra,36540,986580013,42.696613,-8.245542,Privada,Si,Non
32003783,CPR Plurilingüe Sagrado Corazón,Rúa Areal 13,Celanova,Ourense,32800,988431516,42.150043,-7.95967,Privada,Si,Non
27007211,CPR Plurilingüe Fundación Educativa Torre de Lemos,Rúa Santo Domingo s/n,Monforte de Lemos,Lugo,27400,982400350,42.52391,-7.51276,Privada,Si,Non
27004465,CPR Plurilingüe Nuestra Señora del Pilar,Rúa Virgen del Pilar 27,Foz,Lugo,27780,982140196,43.568848,-7.2600155,Privada,Si,Non
15006511,CPR Plurilingüe Santa Juana de Lestonnac,Rúa Nai Lestonnac s/n,Ferrol,Coruña (A),15406,981311449,43.485237,-8.205215,Privada,Si,Non
15006432,CPR Tirso de Molina,Arce s/n,Ferrol,Coruña (A),15401,981352109,43.482723,-8.238716,Privada,Si,Non
15006420,CPR Plurilingüe La Salle,Rúa Pardo Bazan s/n,Ferrol,Coruña (A),15406,981318111,43.482475,-8.201057,Privada,Si,Non
15004654,CPR Plurilingüe Santo Domingo,Praza de Santo Domingo 1,Coruña (A),Coruña (A),15001,981205850,43.370193,-8.391329,Privada,Si,Non
15004538,CPR Plurilingüe Salesiano San Juan Bosco,Rúa Hospital 14,Coruña (A),Coruña (A),15003,981203550,43.37348,-8.402607,Privada,Si,Non
36019840,CEEPR San Jerónimo Emiliani,Rúa GALICIA 23,Guarda (A),Pontevedra,36780,986613719,41.902657,-8.870857,Privada,Si,Non
36019815,CEEPR Amencer,Rúa Pontemuiños s/n - Poboado de Celulosas,Pontevedra,Pontevedra,36001,986864643,42.42596,-8.645313,Privada,Si,Non
36018847,CEEPR Juan María,Rúa das Agullas 12,Nigrán,Pontevedra,36379,986386914,42.124146,-8.787412,Privada,Si,Non
15032674,CEEPR AMICOS,Rúa Gándara 33,Ribeira,Coruña (A),15993,,42.608303,-9.007947,Privada,Si,Non
36019864,CEEPR Bata - Os Mecos,Baión (San Xoán),Vilanova de Arousa,Pontevedra,36614,986565128,42.562183,-8.712749,Privada,Si,Non
36006675,CPR San José,Rúa Princesa 1,Pontevedra,Pontevedra,36002,986861990,42.43308,-8.64582,Privada,Si,Non
36011609,CPR Colegio Hogar Afundación,Rúa FILIPINAS 6,Vigo,Pontevedra,36204,986414311,42.22711,-8.714254,Privada,Si,Non
32015530,CPR San Martín,Avenida de Marín 23-25,Ourense,Ourense,32005,988221990,42.319714,-7.8621073,Privada,Si,Non
15004231,CPR Plurilingüe Karbo,"Rúa Ramon Cabanillas, 2 - 1º",Coruña (A),Coruña (A),15007,981236179,43.35214,-8.413227,Privada,Si,Non
15010769,CPR Plurilingüe María Assumpta,Avenida VIZCONDE DE SAN ALBERTO 32,Noia,Coruña (A),15200,981820500,42.77626,-8.891399,Privada,Si,Non
15004794,CPR Fogar de Santa Margarida,Rúa VALLE INCLAN 3,Coruña (A),Coruña (A),15011,981251090,43.36622,-8.413932,Privada,Si,Non
36016024,CPR Plurilingüe Abrente,"Estrada de Adigna, s/n (Portonovo)",Sanxenxo,Pontevedra,36979,986723494,42.40143,-8.830541,Privada,Si,Non
36012468,CPR Plurilingüe San Francisco,Rúa Edelmiro Trillo 15,Vilagarcía de Arousa,Pontevedra,36600,986501927,42.59459,-8.765079,Privada,Si,Non
36011491,CPR Possumus,Rúa PURIFICACION SAAVEDRA 62,Vigo,Pontevedra,36207,986371330,42.250046,-8.699306,Privada,Si,Non
36011221,CPR Plurilingüe Padre Míguez,Rúa Montecelo 1,Vigo,Pontevedra,36207,986437723,42.242344,-8.706246,Privada,Si,Non
36010927,CPR Plurilingüe Alborada,Avenida Aeroporto 392,Vigo,Pontevedra,36317,986272432,42.23446,-8.670342,Privada,Si,Non
36006973,CPR Plurilingüe Hermanos Quiroga Rodríguez,Rúa Antonio Palacios s/n,Porriño (O),Pontevedra,36400,986330689,42.160923,-8.614462,Privada,Si,Non
36006641,CPR Plurilingüe Calasancio,Rúa Blanco Porto 15,Pontevedra,Pontevedra,36001,986850941,42.428383,-8.639325,Privada,Si,Non
36005427,CPR Plurilingüe Lar,Avenida REBULLON 21,Mos,Pontevedra,36416,986487792,42.206463,-8.659827,Privada,Si,Non
36004526,CPR San Narciso,Lugar CHAN DO MONTE 27,Marín,Pontevedra,36900,986881408,42.38931,-8.708128,Privada,Si,Non
36002323,CPR Plurilingüe Nuestra Señora de Lourdes,Rúa do Cruceiro 32,Estrada (A),Pontevedra,36680,986570874,42.69137,-8.493278,Privada,Si,Non
32016728,CPR Plurilingüe Luís Vives,Rúa AIRA DE FONSILLÓN 4,Ourense,Ourense,32005,988242000,42.323044,-7.8762317,Privada,Si,Non
32013557,CPR Plurilingüe María Inmaculada,Avenida de Portugal 59,Verín,Ourense,32600,988410756,41.935604,-7.4384413,Privada,Si,Non
32002973,CPR Plurilingüe Sagrado Corazón,Praza Irmans Prieto 7,Carballiño (O),Ourense,32500,988270194,42.430298,-8.078636,Privada,Si,Non
27006322,CPR La Inmaculada,Rúa Angel Lopez Perez 2,Lugo,Lugo,27002,982280392,43.008244,-7.555199,Privada,Si,Non
15015627,CPR Plurilingüe San José de Cluny,Rúa A Rosa 13,Santiago de Compostela,Coruña (A),15701,981592540,42.87183,-8.547108,Privada,Si,Non
15015615,CPR San Francisco Javier,Rúa Virxe da Cerca 31,Santiago de Compostela,Coruña (A),15703,981581908,42.88,-8.540666,Privada,Si,Non
15015603,CPR Plurilingüe La Salle,Praza SAN XOÁN BAUTISTA DE LA SALLE 1,Santiago de Compostela,Coruña (A),15704,981584611,42.88375,-8.541475,Privada,Si,Non
15014416,CPR Plurilingüe La Milagrosa - Josefa Sobrido,A Gandara 11,Ribeira,Coruña (A),15993,981865577,42.606056,-9.005806,Privada,Si,Non
15014349,CPR Sagrado Corazón de Jesús,Rúa Fonte Nova 4,Ribeira,Coruña (A),15966,981840381,42.53291,-8.996193,Privada,Si,Non
15006501,CPR Plurilingüe Cristo Rey,"A Coruña, 35 - 37",Ferrol,Coruña (A),15401,981353060,43.484493,-8.236393,Privada,Si,Non
15003200,CPR Plurilingüe Manuela Rial Mouzo,Rúa da Mariña 7,Cee,Coruña (A),15270,981745078,42.95155,-9.1863785,Privada,Si,Non
15000600,CPR Ntra. Sra. del Rosario,Rúa Carmen 22,Arzúa,Coruña (A),15810,981500035,42.926342,-8.164634,Privada,Si,Non
36010836,CPR Breogán,"Avenida Aeroporto, 35-37",Vigo,Pontevedra,36206,986273946,42.234867,-8.699728,Privada,Si,Non
32016194,CPR Plurilingüe Guillelme Brown,A MERTEIRA,Pereiro de Aguiar (O),Ourense,32710,988259589,42.34499,-7.809642,Privada,Si,Non
15006547,CPR San Rosendo,Rúa Pintor Maximo Ramos 11,Ferrol,Coruña (A),15401,981357562,43.482468,-8.241736,Privada,Si,Non
36000429,CPR Plurilingüe La Encarnación,Avenida Dolores Mosquera 4,Caldas de Reis,Pontevedra,36650,986540052,42.606026,-8.643172,Privada,Si,Non
32009050,CPR Plurilingüe San Pío X,Avenida de Zamora 98,Ourense,Ourense,32005,988221127,42.323906,-7.8634214,Privada,Si,Non
15015524,CPR Vilas Alborada,"Rúa Fraguas, 26-28",Santiago de Compostela,Coruña (A),15703,981585791,42.880436,-8.535002,Privada,Si,Non
15006602,CPR Belén,"Praza do Tronco, 1-3",Ferrol,Coruña (A),15403,981312176,43.49002,-8.226131,Privada,Si,Non
15005853,CPR A Ponte Pasaxe,Estrada de Fonteculler 72,Culleredo,Coruña (A),15174,981661666,43.32826,-8.382051,Privada,Si,Non
36015962,CPR Campelo Afundación,Praza Capela 3,Poio,Pontevedra,36994,986770138,42.431255,-8.682247,Privada,Si,Non
15021925,CPR Ntra. Sra. del Monte Carmelo,Campo da Feira,Pobra do Caramiñal (A),Coruña (A),15940,981831304,42.605015,-8.9392605,Privada,Si,Non
36011348,CPR San Miguel,"Joaquin Loriga , 2 - 1º",Vigo,Pontevedra,36203,986221325,42.234818,-8.721579,Privada,Si,Non
36016723,CPR Mendiño,Pi y Margall 139,Vigo,Pontevedra,36202,986293444,42.228813,-8.732019,Privada,Si,Non
15004061,CPR Cervantes,Rúa Ramon do Cueto 23,Coruña (A),Coruña (A),15002,981204648,43.37622,-8.400159,Privada,Si,Non
15004782,CPR Plurilingüe La Grande Obra de Atocha,Rúa BALTASAR PARDAL VIDAL 1,Coruña (A),Coruña (A),15001,981222542,43.37347,-8.396196,Privada,Si,Non
36011865,CPR Quiñones de León,"Travesa de Vigo, 36",Vigo,Pontevedra,36206,986278089,42.23403,-8.706027,Privada,Si,Non
36011211,CPR Plurilingüe San Miguel 2,Rúa Tomas A. Alonso 13,Vigo,Pontevedra,36208,986293282,42.22356,-8.736999,Privada,Si,Non
36011181,CPR Plurilingüe Mariano,Rúa URZAIZ 122,Vigo,Pontevedra,36205,986275168,42.2313,-8.708665,Privada,Si,Non
36011142,CPR Plurilingüe María Auxiliadora,Rúa Venezuela 7,Vigo,Pontevedra,36203,986433855,42.23421,-8.723718,Privada,Si,Non
36006699,CPR Plurilingüe Sagrado Corazón de Jesús,Rúa A Estrada 24,Pontevedra,Pontevedra,36004,986856350,42.427193,-8.629633,Privada,Si,Non
36000831,CPR Sagrada Familia,Avenida Xose Graña 4,Cangas,Pontevedra,36945,986329575,42.281048,-8.81935,Privada,Si,Non
32008665,CPR Plurilingüe Divino Maestro,Rúa Madre Soledad 1,Ourense,Ourense,32001,988217800,42.355373,-7.864591,Privada,Si,Non
32008604,CPR Plurilingüe Santa Maria,Rúa BEDOYA 9,Ourense,Ourense,32004,988228152,42.340458,-7.86215,Privada,Si,Non
32008550,CPR Plurilingüe San José,Rúa do Progreso 24,Ourense,Ourense,32005,988220990,42.333916,-7.8656263,Privada,Si,Non
32008458,CPR Plurilingüe María Auxiliadora,Praza DE DON BOSCO 1,Ourense,Ourense,32003,988370537,42.343678,-7.868051,Privada,Si,Non
27007235,CPR Ferroviario,Rúa A Coruña 14,Monforte de Lemos,Lugo,27400,982400780,42.529087,-7.50665,Privada,Si,Non
27004453,CPR Plurilingüe Martínez Otero,Rúa Alcalde Maañon 12,Foz,Lugo,27780,982140028,43.566593,-7.2585993,Privada,Si,Non
15024884,CPR Plurilingüe Rias Altas,Estrada da Zapateira s/n,Culleredo,Coruña (A),15192,981174371,43.31477,-8.41078,Privada,Si,Non
15010071,CPR Jorge Juan,Rúa Marcial Calvo 1,Narón,Coruña (A),15570,981383020,43.515434,-8.157864,Privada,Si,Non
15004009,CPR Plurilingüe Calasancias,Estrada dos Fortes 11,Coruña (A),Coruña (A),15011,981256430,43.371624,-8.429469,Privada,Si,Non
15000132,CPR Alca,Lugar Biduído de Arriba 36,Ames,Coruña (A),15895,981531103,42.846325,-8.600729,Privada,Si,Non
36015287,CEEPR ASPANAEX,Rúa Mestres Goldar 18,Vigo,Pontevedra,36213,986208395,42.21032,-8.726095,Privada,Si,Non
36015998,CEEPR Menela,"Camiño da Veiguiña, 17 - Alcabre",Vigo,Pontevedra,36212,986240703,42.2199,-8.758772,Privada,Si,Non
32020823,CEEPR Ilustre Mestre,Rúa PUGA s/n,Ourense,Ourense,32005,988219389,42.32697,-7.858336,Privada,Si,Non
15027678,CEEPR ASPANAES,"Rúa Areosa, Poboado das Veigas s/n",Pontes de García Rodríguez (As),Coruña (A),15320,981450542,43.44865,-7.8604817,Privada,Si,Non
36010253,CEEPR Fogar e Clin. San Rafael,Rúa San Juan de Dios 1,Vigo,Pontevedra,36208,986232740,42.222977,-8.746582,Privada,Si,Non
15015241,CPR Plurilingüe Ntra. Sra. Inmaculada,Rúa Santiago 15,Santa Comba,Coruña (A),15840,981880085,43.03333,-8.802897,Privada,Si,Non
15006638,CPR Ludy,"Rúa Rio Lambre, 6-8",Ferrol,Coruña (A),15403,981311813,43.48943,-8.226855,Privada,Si,Non
15004046,CPR Cid,Ronda de Nelle 143,Coruña (A),Coruña (A),15010,981255244,43.364555,-8.418521,Privada,Si,Non
15005270,CPR Afundación A Coruña,Rúa Ribadavia 4,Coruña (A),Coruña (A),15007,981236552,43.358734,-8.411273,Privada,Si,Non
15005488,CPR López y Vicuña,Rúa Santiago 1 bis,Coruña (A),Coruña (A),15001,981226244,43.370358,-8.394956,Privada,Si,Non
15004265,CPR Plurilingüe Liceo La Paz,Avenida Sebastián Matínez Risco 12,Coruña (A),Coruña (A),15009,981286299,43.341568,-8.402298,Privada,Si,Non
36016115,CPR Eduardo Pondal,"Lugar Seixo, Darbo 68,69",Cangas,Pontevedra,36949,986303032,42.26648,-8.804587,Privada,Si,Non
36012456,CPR Plurilingüe Sagrada Familia,Rúa Vista Alegre 2,Vilagarcía de Arousa,Pontevedra,36600,986500375,42.59278,-8.76871,Privada,Si,Non
36011831,CPR Plurilingüe Las Acacias,Rúa PARROCHA 26,Vigo,Pontevedra,36214,986278016,42.21464,-8.687485,Privada,Si,Non
36011518,CPR Plurilingüe Mercantil,Rúa TOMÁS ALONSO 56/58,Vigo,Pontevedra,36208,986233818,42.22476,-8.734807,Privada,Si,Non
36011178,CPR Plurilingüe Miralba,Gran Via 164,Vigo,Pontevedra,36211,986213047,42.22157,-8.728638,Privada,Si,Non
36010939,CPR Plurilingüe Barreiro,"Estrada de Valadares, 78 - O Seixo",Vigo,Pontevedra,36314,986467800,42.184902,-8.722366,Privada,Si,Non
36007515,CPR Plurilingüe Santiago Apóstol,Avenida Castelao 45,Ponteareas,Pontevedra,36860,986640112,42.174126,-8.50964,Privada,Si,Non
36000569,CPR Salesianos A Mercé,Serantellos 1,Cambados,Pontevedra,36639,986542750,42.489773,-8.802516,Privada,Si,Non
32009062,CPR Cardenal Cisneros,Emilia Pardo Bazan 21,Ourense,Ourense,32004,988225495,42.33914,-7.859226,Privada,Si,Non
32008616,CPR Padre Feijoo Zorelle,Doutor Fleming 21,Ourense,Ourense,32003,988230401,42.337574,-7.867445,Privada,Si,Non
27006437,CPR Plurilingüe San José,Rúa Santiago 2,Lugo,Lugo,27004,982221501,43.008373,-7.5598974,Privada,Si,Non
