zid,name,tags,website,physical_address,phone,opening_hours,country_code,longitude,latitude,gisprecision,correctly_placed,created_at,updated_at,updated_by,facebook_page,categories
1007084,Abbotsford School,"State Co-Ed Primary, Intermediate School",http://www.abbotsford.school.nz,"72 North Taieri Road, Green Island, Dunedin",03 488 2642,,NZ,170.418991,-45.893563,number,1,2006-08-11T17:39:20Z,2013-04-12T15:09:14Z,zenbu,,ElementarySchool MiddleSchool
1007091,Aberdeen School,State Co-Ed Primary School,http://web.mac.com/aberdeenschool.web/iWeb/Site/Welcome.html,"60 Aberdeen Drive, Hamilton",07 847 7312,,NZ,175.243265,-37.789273,Address,1,2006-08-11T17:39:20Z,2007-11-11T17:57:01Z,burgla,,ElementarySchool
1007098,Aberfeldy School,"State Co-Ed Primary, Intermediate School",,"Parapara Highway, Wanganui",06 342 5757,,NZ,175.261738,-39.787417,manual,1,2006-08-11T17:39:20Z,2007-10-28T14:44:10Z,burgla,,ElementarySchool MiddleSchool
1007126,ACG Strathallan,"Private Co-Ed Primary, Intermediate, Secondary School",http://www.acg.ac.nz,"Hayfield Way, Karaka, South Auckland",09 295 0830,,NZ,174.902279,-37.083384,manual,1,2006-08-11T17:39:20Z,2013-04-12T15:01:23Z,zenbu,,ElementarySchool
1007133,Addington School,State Co-Ed Primary School,http://www.addington.school.nz/,"22 Brougham Street, Christchurch",03 366 2909,,NZ,172.618443,-43.547648,number,1,2006-08-11T17:39:21Z,2013-04-12T15:09:14Z,zenbu,,ElementarySchool
1007140,Adventure School,"State Co-Ed Primary, Intermediate School",http://www.adventure.school.nz,"Longitude Place, Whitby, Porirua",04 234 7220,,NZ,174.889963,-41.119735,manual,1,2006-08-11T17:39:21Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007147,Ahipara School,"State Co-Ed Primary, Intermediate School",http://www.ahipara.school.nz,"Main Road, Ahipara",09 409 4702,,NZ,173.15305,-35.171546,manual,1,2006-08-11T17:39:21Z,2007-04-03T18:56:52Z,burgla,,ElementarySchool MiddleSchool
1007154,Ahititi School,"State Co-Ed Primary, Intermediate School",,"3252 Mokau Road, Ahititi, New Plymouth",06 752 5890,,NZ,174.606797,-38.858863,manual,1,2006-08-11T17:39:21Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007161,Ahuroa School,"State Co-Ed Primary, Intermediate School",http://www.ahuroa.com/school,"1349 Ahuroa Road, Ahuroa",09 422 5898,,NZ,174.553161,-36.473324,number,1,2006-08-11T17:39:21Z,2007-01-23T12:29:28Z,zenbu,,ElementarySchool MiddleSchool
1007168,Aka Aka School,"State Co-Ed Primary, Intermediate School",http://www.akaaka.school.nz,"809 Aka Aka Main Road, Aka Aka, Waiuku",09 235 2806,,NZ,174.803724,-37.2825,manual,1,2006-08-11T17:39:21Z,2007-04-06T10:36:35Z,burgla,,ElementarySchool MiddleSchool
1007175,Akaroa Area School,"State Co-Ed Primary, Intermediate, Secondary School",http://www.akaroa.school.nz/,"141 Rue Jolie, Akaroa",03 304 7108,,NZ,172.962386,-43.811025,number,1,2006-08-11T17:39:21Z,2011-11-14T20:09:59Z,zenbu-cc,,School ElementarySchool MiddleSchool HighSchool
1007196,Albany School,State Co-Ed Primary School,http://www.albany.school.nz,"6 Bass Road, Albany, Auckland",09 415 9668,,NZ,174.690333,-36.736821,number,1,2006-08-11T17:39:21Z,2011-11-11T09:55:10Z,zenbu-cc,,ElementarySchool
1007203,Albury School,State Co-Ed Primary School,http://www.albury.school.nz/,"Station Street, Albury",03 685 5844,,NZ,170.87122,-44.231125,manual,1,2006-08-11T17:39:21Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool
