"des","cat"
"Abaniquería","H"
"Abaniquería - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Acabados de Construcción","F"
"Acabados de Construcción - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Acceso a Ciclos Formativos de F.P. de Grado Medio","F"
"Aceites de Oliva y Vinos","F"
"Aceites de Oliva y Vinos - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Acordeón","H"
"Acordeón - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Acordeón - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Acordeón - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Acordeón - Música Grado Elemental (LOE)","H"
"Acordeón - Música Grado Profesional (LOE)","H"
"Actividades Agropecuarias","F"
"Actividades Agropecuarias - Ciclos Formativos de Formación Profesional Básica","F"
"Actividades Comerciales","F"
"Actividades Comerciales - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Actividades de la Danza-Enseñanzas no Regladas","H"
"Actividades Marítimo-Pesqueras","H"
"Actividades Marítimo-Pesqueras - Ciclos Formativos de Formación Profesional Básica","F"
"Actividades musicales-Enseñanzas no Regladas","H"
"Acuicultura","F"
"Acuicultura - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Administración de Sistemas Informáticos","F"
"Administración de Sistemas Informáticos - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Administración de Sistemas Informáticos en Red","F"
"Administración de Sistemas Informáticos en Red - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Administración y Finanzas","F"
"Administración y Finanzas - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Administración y Finanzas - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Agencias de Viajes","F"
"Agencias de Viajes - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Agencias de Viajes y Gestión de Eventos","F"
"Agencias de Viajes y Gestión de Eventos - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Agro-jardinería y composiciones florales","H"
"Agro-jardinería y composiciones florales - Ciclos Formativos de Formación Profesional Básica","F"
"Alemán","I"
"Alemán - Idiomas Nivel C1 (LOE)","I"
"Alemán - Idiomas Nivel C2 (LOE)","I"
"Alemán Nivel Avanzado","I"
"Alemán Nivel Avanzado - Idiomas Nivel Avanzado (LOE)","I"
"Alemán Nivel Básico","I"
"Alemán Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Alemán Nivel Intermedio","I"
"Alemán Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Alfarería","H"
"Alfarería - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Alfarería - Ciclos Formativos de Artes Plásticas y Diseño. Grado Medio. (LOE)","H"
"Alojamiento","F"
"Alojamiento - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Alojamiento y Lavandería","F"
"Alojamiento y Lavandería - Ciclos Formativos de Formación Profesional Básica","F"
"Alta Montaña","H"
"Alta Montaña - Enseñanzas Deportivas de Grado Medio (LOGSE)","H"
"Alta Montaña - Enseñanzas Deportivas de Grado Superior (LOGSE)","H"
"Amueblamiento","H"
"Amueblamiento - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Análisis y Control","F"
"Análisis y Control - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Anatomía Patológica y Citología","F"
"Anatomía Patológica y Citología - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Animación","H"
"Animación - Ciclos Formativos de Artes Plásticas y Diseño. Grado Superior (LOE)","H"
"Animación de Actividades Físicas y Deportivas","H"
"Animación de Actividades Físicas y Deportivas - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","H"
"Animaciones 3D, Juegos y Entornos Interactivos","F"
"Animaciones 3D, Juegos y Entornos Interactivos - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Animación Socio-Cultural","H"
"Animación Socio-Cultural - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Animación Sociocultural y Turística","F"
"Animación Sociocultural y Turística - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Animación Turística","F"
"Animación Turística - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Aprovechamientos Forestales","F"
"Aprovechamientos Forestales - Ciclos Formativos de Formación Profesional Básica","F"
"Aprovechamiento y Conservación del Medio Natural","F"
"Aprovechamiento y Conservación del Medio Natural - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Árabe","I"
"Árabe - Idiomas Nivel C1 (LOE)","I"
"Árabe - Idiomas Nivel C2 (LOE)","I"
"Árabe Nivel Avanzado","I"
"Árabe Nivel Avanzado - Idiomas Nivel Avanzado (LOE)","I"
"Árabe Nivel Básico","I"
"Árabe Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Árabe Nivel Intermedio","I"
"Árabe Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Arpa","H"
"Arpa - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Arpa - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Arpa - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Arpa - Música Grado Elemental (LOE)","H"
"Arpa - Música Grado Profesional (LOE)","H"
"Arquitectura Efímera","H"
"Arquitectura Efímera - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Arreglo y reparación de artículos textiles y de piel","F"
"Arreglo y reparación de artículos textiles y de piel - Ciclos Formativos de Formación Profesional Básica","F"
"Artefinal de Diseño Gráfico","H"
"Artefinal de Diseño Gráfico - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Arte floral","H"
"Arte floral - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Artesanía de Complementos de Cuero","H"
"Artesanía de Complementos de Cuero - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Artesanía en Cuero","H"
"Artesanía en Cuero - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Artes Aplicadas al Muro","H"
"Artes Aplicadas al Muro - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Artes aplicadas de la escultura","H"
"Artes aplicadas de la escultura - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Artes aplicadas de la madera","H"
"Artes aplicadas de la madera - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Artes aplicadas de la piedra","H"
"Artes aplicadas de la piedra - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Artes aplicadas del metal","H"
"Artes aplicadas del metal - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Artes Gráficas","F"
"Artes Gráficas - Ciclos Formativos de Formación Profesional Básica","F"
"Arte Textil","H"
"Arte Textil - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Artista Fallero y Construcción de Escenografías","F"
"Artista Fallero y Construcción de Escenografías - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Asesoría de Imagen Personal","F"
"Asesoría de Imagen Personal - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Asesoría de Imagen Personal y Corporativa","F"
"Asesoría de Imagen Personal y Corporativa - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Asistencia a la Dirección","F"
"Asistencia a la Dirección - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Asistencia al Producto Gráfico Impreso","H"
"Asistencia al Producto Gráfico Impreso - Ciclos Formativos de Artes Plásticas y Diseño. Grado Medio. (LOE)","H"
"Asistencia al Producto Gráfico Interactivo","H"
"Asistencia al Producto Gráfico Interactivo - Ciclos Formativos de Artes Plásticas y Diseño. Grado Medio. (LOE)","H"
"Atención a Personas en Situación de Dependencia","F"
"Atención a Personas en Situación de Dependencia - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Atención Sociosanitaria","F"
"Atención Sociosanitaria - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Atletismo","H"
"Atletismo - Enseñanzas Deportivas de Grado Medio (LOE)","H"
"Atletismo - Enseñanzas Deportivas de Grado Medio (LOGSE)","H"
"Atletismo - Enseñanzas Deportivas de Grado Superior (LOGSE)","H"
"Audiología Protésica","F"
"Audiología Protésica - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Autoedición","H"
"Autoedición - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Automatización y Robótica Industrial","F"
"Automatización y Robótica Industrial - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Automoción","F"
"Automoción - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Automoción - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Bachibac: Artes Plásticas, Imagen y Diseño","E"
"Bachibac: Ciencias y Tecnología","E"
"Bachibac: Humanidades y Ciencias Sociales","E"
"Bachillerato de Artes","E"
"Bachillerato de Artes escénicas, música y danza","E"
"Bachillerato de Artes para Adultos","G"
"Bachillerato de Artes plásticas, imagen y diseño","E"
"Bachillerato de Artes Plásticas, Imagen y Diseño para Adultos","G"
"Bachillerato de Ciencias y Tecnología","E"
"Bachillerato de Ciencias y Tecnología para Adultos","G"
"Bachillerato de Humanidades y Ciencias Sociales","E"
"Bachillerato de Humanidades y Ciencias Sociales para Adultos","G"
"Bachillerato de Planes Extranjeros","E"
"Bachillerato Genérico","E"
"Bachillerato Internacional","E"
"Baile Flamenco","H"
"Bajo eléctrico","H"
"Bajo Eléctrico","H"
"Bajo Eléctrico - Música Grado Elemental (LOE)","H"
"Bajo eléctrico - Música Grado Profesional (LOE)","H"
"Baloncesto","H"
"Baloncesto - Enseñanzas Deportivas de Grado Medio (LOGSE)","H"
"Baloncesto - Enseñanzas Deportivas de Grado Superior (LOGSE)","H"
"Balonmano","H"
"Balonmano - Enseñanzas Deportivas de Grado Medio (LOGSE)","H"
"Balonmano - Enseñanzas Deportivas de Grado Superior (LOGSE)","H"
"Barrancos","H"
"Barrancos - Enseñanzas Deportivas de Grado Medio (LOGSE)","H"
"Bienes Arqueológicos","H"
"Bordados","H"
"Bordados - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Buceo a Media Profundidad","F"
"Buceo a Media Profundidad - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Buceo deportivo con escafandra autónoma","H"
"Buceo deportivo con escafandra autónoma - Enseñanzas Deportivas de Grado Medio (LOE)","H"
"Calzado y Complementos de Moda","F"
"Calzado y Complementos de Moda - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Cante flamenco","H"
"Cante flamenco - Música Grado Profesional (LOE)","H"
"Canto","H"
"Canto - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Canto - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Canto - Música Grado Elemental (LOE)","H"
"Canto - Música Grado Profesional (LOE)","H"
"Caracterización","F"
"Caracterización - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Caracterización y Maquillaje Profesional","F"
"Caracterización y Maquillaje Profesional - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Carpintería y mueble","F"
"Carpintería y Mueble","F"
"Carpintería y mueble - Ciclos Formativos de Formación Profesional Básica","F"
"Carpintería y Mueble - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Carrocería","F"
"Carrocería - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Carrocería - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Catalán Nivel Avanzado","I"
"Catalán Nivel Avanzado - Idiomas Nivel Avanzado (LOE)","I"
"Catalán Nivel Básico","I"
"Catalán Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Catalán  Nivel Intermedio","I"
"Catalán  Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Cerámica","H"
"Cerámica Artística","H"
"Cerámica Artística - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Cerámica Artística - Ciclos Formativos de Artes Plásticas y Diseño. Grado Superior (LOE)","H"
"Chino","I"
"Chino - Idiomas Nivel C1 (LOE)","I"
"Chino Nivel Avanzado","I"
"Chino Nivel Avanzado - Idiomas Nivel Avanzado (LOE)","I"
"Chino Nivel Básico","I"
"Chino Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Chino Nivel Intermedio","I"
"Chino Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Clarinete","H"
"Clarinete - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Clarinete - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Clarinete - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Clarinete - Música Grado Elemental (LOE)","H"
"Clarinete - Música Grado Profesional (LOE)","H"
"Clave","H"
"Clave - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Clave - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Clave - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Clave - Música Grado Elemental (LOE)","H"
"Clave - Música Grado Profesional (LOE)","H"
"Cocina","F"
"Cocina - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Cocina y Gastronomía","F"
"Cocina y Gastronomía - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Cocina y restauración","F"
"Cocina y restauración - Ciclos Formativos de Formación Profesional Básica","F"
"Comercio","F"
"Comercio - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Comercio Internacional","F"
"Comercio Internacional - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Comercio Internacional - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Cómic","H"
"Cómic - Ciclos Formativos de Artes Plásticas y Diseño. Grado Superior (LOE)","H"
"Composición","H"
"Composición - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Composición - Estudios Superiores de Música (LOE)","H"
"Conducción de Actividades Físico-Deportivas en el Medio Natural","H"
"Conducción de Actividades Físico-Deportivas en el Medio Natural - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","H"
"Conducción de Vehículos de Transporte por Carretera","F"
"Conducción de Vehículos de Transporte por Carretera - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Confección","F"
"Confección - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Confección y Moda","F"
"Confección y Moda - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Conservación y Restauración de Arqueología","H"
"Conservación y Restauración de Arqueología - Estudios Superiores de Artes Plásticas y Diseño - LOGSE","H"
"Conservación y Restauración de Documento Gráfico","H"
"Conservación y Restauración de Documento Gráfico - Estudios Superiores de Artes Plásticas y Diseño - LOGSE","H"
"Conservación y Restauración de Escultura","H"
"Conservación y Restauración de Escultura - Estudios Superiores de Artes Plásticas y Diseño - LOGSE","H"
"Conservación y Restauración de Pintura","H"
"Conservación y Restauración de Pintura - Estudios Superiores de Artes Plásticas y Diseño - LOGSE","H"
"Conservación y Restauración de Textiles","H"
"Conservación y Restauración de Textiles - Estudios Superiores de Artes Plásticas y Diseño - LOGSE","H"
"Conservería Vegetal, Cárnica y de Pescado","F"
"Conservería Vegetal, Cárnica y de Pescado - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Construcción","F"
"Construcción - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Construcciones Metálicas","F"
"Construcciones Metálicas - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Construcciones Metálicas - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
